,T-shirt,bag,belt,blazer,blouse,coat,dress,hat,jeans,legging,pants,scarf,shoe,shorts,skirt,socks,stocking,sunglass,sweater
89286.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
118662.jpg,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80369.jpg,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1372.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
9527.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38634.jpg,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
23568.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
133008.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
184104.jpg,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
94987.jpg,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
66896.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
58883.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
189146.jpg,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
47285.jpg,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
28748.jpg,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
21440.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
33888.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
120690.jpg,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
124577.jpg,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
187411.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
107061.jpg,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
109437.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
189957.jpg,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
57175.jpg,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
154943.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
12844.jpg,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1931.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
120212.jpg,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
15933.jpg,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
67317.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
106357.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
123917.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
13302.jpg,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
137557.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
174137.jpg,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
49355.jpg,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
98034.jpg,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
171298.jpg,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
182255.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
20716.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
107606.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
48288.jpg,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
20893.jpg,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0
1534.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
46449.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
146291.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
156951.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41966.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
187000.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
67514.jpg,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
16975.jpg,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
91254.jpg,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
6476.jpg,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
17405.jpg,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
15725.jpg,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
169532.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
13722.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
54385.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2340.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
151966.jpg,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
187996.jpg,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
49309.jpg,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
8781.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4611.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
66970.jpg,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
49831.jpg,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
121834.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
75625.jpg,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
10226.jpg,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
156784.jpg,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
14673.jpg,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
157811.jpg,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
80520.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
106225.jpg,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
101691.jpg,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
138261.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85180.jpg,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
130408.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
105091.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28553.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8205.jpg,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
104798.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
185173.jpg,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
192042.jpg,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
187871.jpg,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
169145.jpg,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
66774.jpg,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
110861.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9001.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
85207.jpg,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44058.jpg,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
124085.jpg,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
92890.jpg,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
44540.jpg,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
46017.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
147534.jpg,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
176801.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
53699.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
14574.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
116300.jpg,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
173096.jpg,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
188545.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
97339.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
186077.jpg,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
190057.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
185581.jpg,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
186288.jpg,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
116880.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
145714.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
175632.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
190493.jpg,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
86234.jpg,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
89417.jpg,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16325.jpg,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7194.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
67484.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
33441.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
14800.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
50252.jpg,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
185570.jpg,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106182.jpg,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
13386.jpg,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
169413.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
162845.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
186042.jpg,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
184495.jpg,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20361.jpg,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0
140971.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
18747.jpg,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
128323.jpg,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
74956.jpg,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
137538.jpg,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
85741.jpg,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15799.jpg,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
104194.jpg,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
9231.jpg,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
9920.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
60770.jpg,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
116495.jpg,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
130475.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8753.jpg,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
186745.jpg,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
101393.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
194319.jpg,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
187102.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11010.jpg,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
193721.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
84878.jpg,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
45699.jpg,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
25598.jpg,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
186308.jpg,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
65326.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
186109.jpg,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
96743.jpg,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
30417.jpg,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
105422.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
70992.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
149188.jpg,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
190401.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
120590.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31444.jpg,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
61933.jpg,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
44730.jpg,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
39036.jpg,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
155007.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
2804.jpg,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
107120.jpg,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
147833.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
18885.jpg,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
72689.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
190557.jpg,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
109553.jpg,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
118698.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
39398.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49183.jpg,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28216.jpg,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
189750.jpg,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
10312.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
44336.jpg,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
163.jpg,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16047.jpg,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0
164770.jpg,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
182161.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
98175.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
132743.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17438.jpg,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
5293.jpg,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
70589.jpg,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
184324.jpg,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
50609.jpg,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
24740.jpg,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
143753.jpg,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
55576.jpg,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
190770.jpg,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
4400.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
38548.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
47857.jpg,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
64572.jpg,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
186083.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
167627.jpg,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
46428.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
148229.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
79281.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1
98768.jpg,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
44905.jpg,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
27353.jpg,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
136699.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16249.jpg,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
170516.jpg,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5663.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
187099.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
207.jpg,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14433.jpg,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
54101.jpg,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
95636.jpg,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
42954.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
103060.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5856.jpg,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
64263.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
191351.jpg,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
194272.jpg,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29763.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
25075.jpg,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
190406.jpg,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
187833.jpg,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
36808.jpg,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
123353.jpg,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
189988.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11717.jpg,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
137927.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34618.jpg,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
180688.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
172369.jpg,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
88919.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
55721.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
7844.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
151175.jpg,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
185315.jpg,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
99952.jpg,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
61244.jpg,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3085.jpg,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
190118.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
53952.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
184730.jpg,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
14523.jpg,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
23250.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
183799.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
2152.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
107616.jpg,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23001.jpg,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
130551.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
102182.jpg,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
88622.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
38257.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
31643.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
188665.jpg,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
111805.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
89446.jpg,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
132393.jpg,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
148936.jpg,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
87836.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50434.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
149442.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
86349.jpg,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
183190.jpg,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
91744.jpg,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
178578.jpg,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
105172.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
144894.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
